authorName
"Colton, Larry"
Albert Einstein
"Brouwer, Steve"
"Naisbitt, John"
"Thousand, Jacqueline S."
"Kramer, Peter D."
"Hammer, Michael"
"Kemp, Ian"
"Cheng, Nien"
"Brown, Linda Beatrice"
"Homsen, Kathleen"
"Hale, Glorya"
"Grubin, David"
"Shakespeare, William"
"Warren, Jean"
"Schumacher, Michael"
"Muller, Marcia"
Kenneth S. Davis
"Graber, Steven"
"Welsh, Alexander"
"Nesbitt, Mark V."
"Fox, Michael W."
"Ackerman, Robert J."
Peter H. Hassrick
"Seigel, Andrea"
"Macy, Caitlin"
"Maier, Paul L."
"Sabatino, David A."
"Kelen, Betty"
"Von Matthiessen, Maria"
"Prisco, Andrew De"
"Purdum, Todd S."
"Cook, Jimmie"
"Gregorich, Barbara"
"Gwathmey, Charles"
"Sucher, Dorothy"
"Benson, John"
"Frank J., Jr."
"Senay, Edward C."
"Rakes, Thomas A."
"Stallings, William"
"Kirkpatrick, Frank"
"Thomson, Sarah L."
"Grinker, Lori"
"Gutman, Bill"
"Winters, Alan J."
"Morn, September B."
"Russell, Sharman Apt"
"Sevilla, Maria Jose"
"Zochert, Donald"
Fran
"Parker, Robert Andrew"
"Begin, Maryjane"
"Spielman, Patrick"
"Holland, Linda"
"Scott, Stephen"
"Kohn, Rebecca"
"Mackey, Chris"
"Miller, Bill"
"Osborne, Rick"
Harold Bell Wright
"Pitch, Anthony S."
"Young, Richard"
"Rennison, Louise"
"Schenck, Rebecca"
"Annechild, Annette"
"De Groat, Diane"
"Mitchell, Elizabeth"
"Sloan, Bob"
"Karolides, Nicholas J."
"Roalf, Peggy"
"Werner, Marilyn"
"Goodman, Amy L."
"Chorao, Kay"
"Fredette, Jean M."
"Martin, Ann M."
"Kraeuter, Tom"
"Womack, Jack"
"Gluscevich, Jo Ellen Adams"
"Sigband, Norman B."
"Katona, Christie"
"Iovine, John"
"Shepard, Sam"
"Sendak, Maurice"
American Institute for Cancer Research
"Lampert, Harry"
"Cooper, Jackie"
"Taylor, L. B."
"Brown, Douglas"
"Schneck, Marcus"
"Fleischman, Sid"
Melissa
"Kaminsky, Peter"
"Naylor, Sean"
"O'hara, Mary"
"Wise, Robert L."
"Robinson, Kris"
"Wright, Vinita Hampton"
"Eskite, Richard"
"Bicknell, Treld"
"Hilts, Elizabeth"
"Laqueur, Walter"
"Stahl, Ben"
"Sennott, Charles M."
"Luce, Clare Boothe"
Sir
"Gorder, Cindy"
"Defoyd, Katherine West"
"Abbott, Shirley"
"Burghardt, Walter J."
"Weisheit, Eldon"
"Lyons, Tony"
"Domar, Alice D."
"Forsyte, Charles"
"Castleman, Nancy"
"Rose, Nancy Ellen"
"Adler, Wolfe N."
"Benedict, Elizabeth"
"McLennaghan, Bonnie G."
"Black, Uyless D."
"Fotheringham, Will"
"Irwin, Scot"
"McKelvey, Daniel"
"Hiaasen, Carl"
"Zabar, Abbie"
"Thibault, Arlene Mary"
"Yong-Gwan, Shin"
"Morris, Philip"
"Suh, Albert"
"Rose, Emerald"
"Zinczenko, David"
"Spann, Mary Beth"
"Jacobs, Martin"
"Gleason, James V."
"Jeske, Richard L."
"Wuthnow, Robert"
"Weston, Marie-Therese"
"Bin Ladin, Carmen"
"Murphy, Caryle"
"McCrary, Crystal"
"Jakes, T. D."
"Dibdin, Michael"
"Warshofsky, Fred"
"Mark, Andrew"
"Kennedy, Marla"
"Berry, Carmen Renee"
"McAdam, Colin"
"Higham, Charles"
"Estes, Jack C."
"Thompson, Gene"
"Milbank, Dana"
"Dorrestein, Renate"
"Simon, Roger Lichtenberg"
"Hunter, Evan"
"Lee, Barbara"
"Espy, Willard R."
"Goldberg, Whoopi"
"Treves, Ralph"
"Martin, William"
"Benton, Kitty"
"Rowan, Roy"
"Disney Staff, Pixar Animation Studios Staff"
"Chalker, Jack L."
"Johnson, Sandy"
"Egan, Lesley"
"J. Frank Hurdle, MD"
"Steffek, Edwin M."
"Ormond, Brande"
"Cabot, Sandra"
"Luke, Mary M."
Prevention Health Books for Women
"Edelman, Marian Wright"
"Hickman, Tracy"
"Roizen, Michael F."
"Higgs, Liz Curtis"
"Blatner, David"
"Back, Kurt W."
"Johnson, Tory"
"Waiters, Tony"
"Brinkley, David"
"Weiss, Stephen"
"Ben Artzi-Pelossof, Noa"
"Brunkus, Denise"
"Dellabough, Robin"
"National Baseball Hall of Fame, Museum"
"De Angelis, Barbara"
"Sapir, Richard"
"Christman, Margaret C. S."
"Santiago, Soledad"
"Rodriguez, Jai"
"Reeves, Robert Nicholas"
"Zumuda, Bob"
"Klein, Edward"
"Bradlee, Benjamin C"
"Wood, Willard"
"Lyndon, Neil"
"Roland Schaepers, Renate Luscher"
"Hoeg, Peter"
"Bush, George"
"Avanzini, John"
"Henry, Patti Callahan"
"Jacobs, Francine"
"Hillkirk, John"
"Cable, Mary"
"Bloom, Tom"
"McMullan, Kate"
"Coman, Carolyn"
"Fowler, Karen Joy"
"Barnard, Neal D."
"Bhaktivedanta Swami, A. C."
"Doolittle, Jerome"
"Rudman, Warren B."
"Frankel, Valerie"
"Barnes, Linda"
"Prince, and"
"Petit, Chris"
"Tinkelman, Murray"
"Gerlach, Carrie"
"Koestenbaum, Wayne"
"Coverdale, Linda"
"Glass, Justine"
"Whitney, Craig R."
"London, Jonathan"
"Cannon, Trudy"
"Viagas, Belinda Grant"
"Nordberg, Bette"
"Hitchcock, Cathy"
"Webster, John"
"Godard, Alex"
"Somerville, Mollie D"
"Willimon, William H."
"Weld, William F."
"Binder, V."
"Hattery, Thomas H."
"Slansky, Paul"
"Nelson, Antonya"
"Scott, Suzanne"
"Alexander, Carly"
"Rimm, Ilonna Jane"
"Sampson, Anthony"
W. Atlee Burpee Company
"Belle, Jennifer"
"Weeks, Bob"
"McCarthy, Mary"
"Carr, Charmian"
"Janke, Kenneth S."
"Yagel, Myron"
"Holland, Cecelia"
Howard C.
"Ivker, Robert S."
"Bowman, John S."
"Clarine C. Grenfell, Illustrator-Lornagrace G. Stuart"
"Martinez, Demetria"
Hospice Foundation of America
"Gentz, William H"
Mike Edited By: Ashley
"Kolko, Joyce"
"Sanders, Betsy"
"Fitzhugh, Louise"
