bookSearchTerm,searchBand,matchCount
Brothers,common,113
Medicine,common,172
Reagan,medium,96
macro,medium,33
Words,common,496
Jordan,medium,17
Napoleon,medium,20
Getting,common,342
Library,common,932
Authentic,medium,66
Literature,common,246
Cooking,common,934
Sacred,common,103
Encyclopedia,common,462
Meals,common,237
Awakening,medium,58
Come,common,575
Ideas,common,473
Crafted,medium,13
Marry,medium,15
Solzhenitsyn,rare,1
Sector,rare,10
Warp,medium,35
30th,rare,3
Blue,common,473
Kids,common,654
America,common,4856
Novel,common,4110
Story,common,3364
comprehensive,common,120
Exam,medium,100
Novel,common,4110
High,common,536
Communication,common,165
year,common,1261
CHICKEN,common,247
Solver,medium,29
Delano,rare,3
Boardroom,rare,7
Time,common,2027
Wife,common,143
European,medium,59
today,common,414
Trucks,medium,24
Crafts,common,287
Full,common,244
Desserts,common,118
Life's,common,127
Monticello,medium,12
Prairiescapes,rare,1
Going,common,126
Jack,common,250
Quilting,medium,100
Unforgettable,medium,32
Feel,common,200
Physics,medium,73
Generations,medium,24
Jewish,common,208
Paperback,common,339
Basic,common,338
Confidential,medium,35
Play,common,632
Party,common,183
Writing,common,570
Basement,medium,17
Wounded,medium,16
Presidents,medium,98
Understanding,common,323
Conduct,medium,19
Eyewitness,common,218
Fall,common,313
Illustrated,common,538
Camouflage,rare,2
Photography,common,184
Anne,common,269
Easter,common,181
Hair,common,110
Oggie,rare,6
Discovery,common,140
Colors,medium,71
Fall,common,313
Broadcast,rare,10
Intrusions,rare,1
Father,common,364
Deals,medium,83
Invisible,medium,59
Things,common,497
It's,common,263
Crimes,medium,72
Redneck,medium,17
Bouquet,medium,20
management,common,386
Instance,rare,2
Maugham,rare,2
Crisis,common,174
Deep,common,145
World,common,2941
Five,common,288
Computers,medium,39
Tuesday,medium,12
Hill,common,326
Passion,common,260
Living,common,956
Quilting,medium,100
Medicine,common,172
Success,common,638
Planning,common,159
Confessions,medium,88
Social,common,264
Heart,common,1185
Hart,medium,89
Silent,medium,86
Truth,common,326
1825,rare,1
World,common,2941
Studs,rare,2
Whispers,medium,26
Story,common,3364
America,common,4856
Fortune,medium,88
Blue,common,473
CONFESSION,common,115
Wear,medium,76
Taking,common,140
Sharon,medium,16
Education,common,220
Better,common,711
Father's,medium,69
Book,common,10899
Gecko,medium,14
Stock,medium,95
Soul,common,459
Agatha,rare,6
Smart,common,305
Love,common,2132
Penguin,common,274
Robber,medium,17
Self,common,784
Howard,medium,21
Central,medium,43
Elsa,rare,2
Japan,common,172
Speeches,medium,34
Sonet,rare,1
King,common,3539
phases,rare,4
Culture,common,296
McNally's,medium,17
Uncivil,rare,9
Grand,common,276
Baby,common,550
Weapons,medium,47
Rosch,rare,2
Journey,common,635
Sisters,common,172
Fifty,common,112
Hobbies,rare,5
Presidency,medium,83
Throws,rare,4
Liberty,medium,92
Expanding,medium,11
Meets,medium,26
Guide,common,5846
